time,PM10,T2,rh2,slp,PBLH,wind_speed_10m,wind_speed_925hPa,WIND_DIR,RAIN
1960-07-29,549.8127,303.66077,62.67485,1007.30597,533.526,3.608277,4.781577,SW,3
1960-07-30,758.345,305.8477,53.020267,1005.7162,682.98364,1.0456913,3.4671524,SW,3
1960-07-31,852.133,303.07498,59.856964,1010.5417,884.0556,5.18818,6.364949,SW,3
1960-08-01,1067.4973,305.08606,50.393204,1008.83514,721.4307,5.2522383,7.01155,SW,3
1960-08-02,1715.7517,308.49582,30.68557,1004.2847,804.4329,2.4944003,7.134106,NW,3
1960-08-03,3961.8154,305.74905,37.613377,1004.8235,767.9674,3.5516055,5.8410606,SE,3
1960-08-04,1329.5712,303.8181,57.077206,1007.85785,843.1195,3.7354195,5.113168,SW,3
1960-08-05,1701.0415,308.03363,37.130035,1004.62085,882.4702,1.8341163,5.03245,NW,3
1960-08-06,2230.7666,303.8695,58.873383,1005.6948,846.0982,7.1546154,8.950521,SE,3
1960-08-07,641.78784,300.88745,65.486244,1008.923,592.92487,3.636969,4.484592,SE,3
1960-08-08,904.1329,301.6698,62.90722,1008.55664,524.364,4.446562,5.302211,SW,3
1960-08-09,1094.9109,303.53757,56.867092,1007.69104,759.9651,3.565933,3.8692348,SW,3
1960-08-10,956.8059,304.12256,55.352364,1009.3308,812.2695,3.9503005,4.461763,SW,3
1960-08-11,744.46686,303.5641,59.30368,1010.16754,734.5171,3.553908,3.2032466,SW,3
1960-08-12,340.78366,304.56485,54.446056,1007.8167,537.463,3.1134017,3.69296,SW,3
1960-08-13,1511.1179,306.8583,43.635445,1004.62524,593.4555,3.0048945,5.7519727,SW,3
1960-08-14,1788.4812,307.61005,34.72468,1003.70844,545.08936,0.7539128,3.3274605,NE,3
1960-08-15,1786.3405,307.2439,30.195671,1004.4682,514.71075,2.263264,3.4913673,NE,3
1960-08-16,2758.6006,306.3424,35.06268,1003.3667,543.3225,1.0373899,2.3288078,SE,3
1960-08-17,1974.6989,304.696,57.801987,1004.98486,796.0639,4.686596,5.673114,SW,3
1960-08-18,1121.8165,302.13373,70.19406,1007.75476,485.1222,4.852243,4.382198,SW,3
1960-08-19,382.39124,300.60684,75.380394,1007.57886,390.35248,5.118017,6.459778,SW,3
1960-08-20,556.25366,300.90662,70.21289,1008.37726,709.94775,5.471881,9.076933,SW,3
1960-08-21,353.11646,303.38843,58.799343,1008.9887,638.55225,3.0165167,4.426428,SW,3
1960-08-22,875.1764,304.9076,53.869164,1007.7539,609.96075,6.112164,8.566854,SW,3
1960-08-23,837.56213,305.09958,53.093994,1006.1237,594.84595,2.760676,2.365429,SW,3
1960-08-24,1286.8427,303.05185,62.546646,1007.692,558.84045,4.3164887,4.1109657,SW,3
1960-08-25,327.2416,302.1106,68.23125,1009.7905,594.76306,3.5864697,4.622195,SW,3
1960-08-26,420.6328,305.2547,52.8015,1008.2446,631.64886,2.7165256,4.345632,NW,3
1960-08-27,1453.0481,306.31006,30.438175,1006.3642,447.93814,3.2158,6.24994,NE,3
1960-08-28,1622.8967,306.0696,25.520073,1006.2598,451.49164,3.9017808,7.4501143,NE,3
1960-08-29,1522.9905,305.98358,33.901463,1006.4858,420.89117,0.45263848,1.340271,SW,3
1960-08-30,1968.2146,304.576,53.67803,1007.4768,632.2909,4.9927135,5.8310595,SW,3
1960-08-31,1283.9724,305.432,52.441246,1006.417,732.5548,4.8883677,6.2150836,SW,3
1960-09-01,1922.3992,307.9948,31.139996,1004.75903,637.34503,2.328659,8.021788,NE,3
1960-09-02,2692.2107,307.51923,26.85389,1005.15875,801.87146,2.4603071,9.133772,NE,3
1960-09-03,2082.2998,307.51172,21.436848,1006.5355,621.443,4.5342402,7.499523,NE,3
1960-09-04,2243.5796,305.99588,17.688896,1005.9718,648.86615,5.527807,11.910239,NE,3
1960-09-05,1676.23,305.20538,19.327541,1005.87756,254.24783,2.508897,6.755857,NE,3
1960-09-06,1783.5562,304.73773,24.3217,1005.8933,305.65237,0.7562507,1.5957286,NW,3
1960-09-07,1315.3446,306.70938,27.016178,1004.47437,427.0871,0.9453508,3.1308527,NW,3
1960-09-08,2324.1714,306.85196,26.401264,1002.3973,604.3156,1.4544152,4.136029,SE,3
1960-09-09,2684.2812,306.0119,49.752235,1004.15845,806.66174,4.976691,6.2884955,SW,3
1960-09-10,2096.8464,304.88947,52.75809,1005.604,581.1117,5.530085,6.8825445,SW,3
1960-09-11,1935.1089,307.41446,27.12672,1002.7853,501.1197,1.775968,5.1715336,NE,3
1960-09-12,2272.2944,304.51483,54.68911,1005.8533,782.14636,6.3426986,8.77421,SE,3
1960-09-13,765.2793,303.04297,53.71955,1009.2022,758.81506,3.8577266,4.0447493,SE,3
1960-09-14,1773.6353,302.3464,60.372345,1007.5851,626.80945,6.032555,8.92746,SW,3
1960-09-15,775.9225,301.55197,67.16989,1009.09796,570.22974,1.9562593,2.9962852,SE,3
1960-09-16,336.3025,304.43338,54.754486,1007.9756,784.97754,1.5130341,1.7224292,SW,3
1960-09-17,746.5229,305.9772,47.17028,1007.8922,884.6625,0.5406414,2.3972225,NE,3
1960-09-18,324.11407,306.86246,36.84427,1008.3771,573.2848,1.1461185,3.4716806,SE,3
1960-09-19,1273.4407,305.911,22.230118,1008.0057,417.89682,3.6812918,5.083142,NE,3
1960-09-20,2276.595,305.83386,18.219576,1007.95154,659.7422,5.552599,12.366686,NE,3
1960-09-21,3780.1755,306.24567,16.636688,1006.8444,658.5643,7.9381905,15.679796,NE,3
1960-09-22,3647.351,306.48398,17.668371,1005.0283,818.23975,6.536677,15.38402,NE,3
1960-09-23,2307.4937,306.1734,28.706749,1005.3197,666.43896,3.185623,10.223368,NE,3
1960-09-24,1737.9543,305.70334,36.992714,1006.2734,574.16144,2.5734715,3.7651618,SE,3
1960-09-25,1424.1653,305.33832,40.943085,1007.5523,582.3059,2.5861375,3.7524009,SW,3
1960-09-26,2386.5,306.91797,21.30164,1008.1888,657.706,3.8704314,10.308794,NE,3
1960-09-27,2867.3657,305.82175,17.503708,1007.9325,669.33527,6.1962295,14.076298,NE,3
1960-09-28,3532.4875,306.8206,17.221119,1006.0215,616.7116,6.734636,14.375876,NE,3
1960-09-29,3871.419,308.36624,17.10795,1005.01514,643.2825,7.301507,15.490224,NE,3
1960-09-30,2972.2314,307.50003,19.302217,1005.26263,848.63257,4.0308695,11.23406,NE,3
1960-10-01,3140.2131,307.42627,17.985163,1007.2469,799.41003,6.77812,12.336353,NE,3
1960-10-02,4537.962,306.54196,15.058742,1008.0721,768.02356,8.528326,17.850958,NE,3
1960-10-03,3380.353,305.24057,14.266948,1008.63354,638.8265,6.48342,13.300154,NE,3
